행정구역,sig_cd,진짜 구급차 출동시간 표준화,기대수명 표준화,병원수 표준화,보건시설 표준화,구급차 표준화,의사수 표준화,지방소멸지수 표준화
서울특별시 송파구,11710,1,0.823717949,0.575,0.179433726,0.538461538,0.223880597,0.693669488
서울특별시 강동구,11740,1,0.663461538,0.425,0.210969185,0.461538462,0.189054726,0.571008318
부산광역시 중구,26110,1,0.208333333,0.05,0.189781299,0.384615385,0.303482587,0.268582603
부산광역시 영도구,26200,0.999078123,0.121794872,0.075,0.707463139,0.230769231,0.069651741,0.139310981
부산광역시 부산진구,26230,1,0.360576923,0.5,0.203540158,0.538461538,0.223880597,0.448913314
부산광역시 해운대구,26350,1.00E+00,0.4375,0.35,0.276958648,0.538461538,0.124378109,0.353248374
부산광역시 사하구,26380,0.516126621,0.270833333,0.475,0.405564189,0.384615385,0.069651741,0.306119099
부산광역시 금정구,26410,0.998368028,0.375,0.25,0.399992419,0.461538462,0.074626866,0.286420731
부산광역시 강서구,26440,0.99207684,0.370192308,0.15,0.382140014,0.307692308,0.009950249,0.641443919
부산광역시 연제구,26470,1,0.469551282,0.3,0.298146534,0.461538462,0.109452736,0.350268882
부산광역시 수영구,26500,0.998255908,0.52724359,0.2,0.318841678,0.461538462,0.139303483,0.386301474
부산광역시 사상구,26530,1,0.128205128,0.2,0.501724595,0.692307692,0.084577114,0.34046175
부산광역시 기장군,26710,0.989398413,0.326923077,0.125,0.465678657,0.307692308,0.044776119,0.406288875
대구광역시 동구,27140,0.941211646,0.365384615,0.2,0.420232726,0.538461538,0.084577114,0.327392819
대구광역시 서구,27170,1,0.174679487,0.175,0.457605276,0.769230769,0.07960199,0.209294232
대구광역시 북구,27230,0.999514146,0.381410256,0.55,0.322518288,0.538461538,0.07960199,0.480989381
대구광역시 수성구,27290,0.999426941,0.66025641,1,0.26357882,0.384615385,0.124378109,0.469299217
대구광역시 달성군,27710,0.229809022,0.3125,0.1,0.355115036,0.307692308,0.024875622,0.541279923
인천광역시 중구,28110,0,0.397435897,0.075,0.502331047,0.615384615,0.164179104,0.618112439
인천광역시 연수구,28185,0.954728358,0.554487179,0.125,0.234128037,0.230769231,0.044776119,0.81428998
인천광역시 동구,28200,0.999563977,0.387820513,0.325,0.499488307,0.461538462,0.119402985,0.520221436
인천광역시 부평구,28237,1,0.4375,0.275,0.315013456,0.615384615,0.089552239,0.543438036
인천광역시 계양구,28245,1,0.363782051,0.2,0.288594929,0.307692308,0.074626866,0.553903789
인천광역시 서구,28260,0.999638724,0.391025641,0.35,0.310389266,0.153846154,0.054726368,0.813056274
인천광역시 강화군,28710,0.611266834,0.469551282,0.025,0.875753326,0.615384615,0.044776119,0.058095433
광주광역시 동구,29110,1.00E+00,0.352564103,0.175,0.244475609,0.307692308,0.552238806,0.401372037
광주광역시 서구,29140,1,0.506410256,0.65,0.167645833,0.461538462,0.134328358,0.561525092
광주광역시 남구,29155,0.994518568,0.5,0.375,0.302619111,0.384615385,0.124378109,0.394737164
광주광역시 북구,29170,0.989224004,0.399038462,0.775,0.291740894,0.692307692,0.094527363,0.511649902
광주광역시 광산구,29200,0.968917791,0.358974359,0.6,0.192017587,0.692307692,0.084577114,0.880192997
대전광역시 동구,30110,0.975134233,0.355769231,0.075,0.373460183,0.538461538,0.069651741,0.347025393
대전광역시 중구,30140,0.990357663,0.469551282,0.125,0.353523102,0.538461538,0.23880597,0.337326067
대전광역시 서구,30170,0.965853172,0.540064103,0.625,0.149641815,0.307692308,0.179104478,0.68386562
대전광역시 유성구,30200,0.987255671,0.615384615,0.35,0.168858735,0.384615385,0.074626866,0.950032349
대전광역시 대덕구,30230,0.993222957,0.383012821,0.125,0.361558579,0.307692308,0.064676617,0.390572193
울산광역시 중구,31110,1,0.341346154,0.15,0.391009362,0.307692308,0.049751244,0.363111659
울산광역시 남구,31140,1.00E+00,0.310897436,0.55,0.137816018,0.615384615,0.129353234,0.565095937
울산광역시 동구,31170,0.99988788,0.243589744,0.025,0.33309328,0.153846154,0.139303483,0.436898536
울산광역시 북구,31200,0.982521708,0.290064103,0.125,0.261039306,0.307692308,0.014925373,0.83204423
울산광역시 울주군,31710,0.586874463,0.266025641,0.1,0.50498427,0.384615385,0.019900498,0.363413531
