시군구명,시군구코드,,순환계통 사망자 수,순환계통 10만명당 사망률,순환계통 연령 표준화 사망률(10만명당),운수사고 사망자 수,운수사고 10만명당 사망률,운수사고 연령 표준화 사망률(10만명당),낙상 사망자수  ,낙상 10만명당 사망률,낙상 연령 표준화 사망률(10만명당),,,,,,,,
경상남도 고성군,48820,,179,353.4,81.4,10,19.7,6.3,4,7.9,4.7,,,,,,,,
경상남도 김해시,48250,,533,99.1,63,37,6.9,5.6,27,5,3.5,,,,,,,,
경상남도 남해군,48840,,155,365.6,69.5,11,25.9,11,5,11.8,2.3,,,,,,,,
경상남도 밀양시,48270,,243,234.8,65.4,15,14.5,5.2,10,9.7,3.2,,,,,,,,
경상남도 사천시,48240,,230,209.3,66.8,36,32.8,20,7,6.4,3.5,,,,,,,,
경상남도 산청군,48860,,125,363.6,64.7,16,46.5,22.2,5,14.5,3.3,,,,,,,,
경상남도 성산구,48330,,177,71.6,57.4,10,4,4,5,2,1.8,,,,,,,,
경상남도 양산시,48720,,397,112.7,60.9,27,7.7,7.1,14,4,2.5,,,,,,,,
경상남도 의령군,48170,,108,408.2,56,9,34,7.7,6,22.7,3.9,,,,,,,,
경상남도 진주시,48170,,588,169.8,69.3,34,9.8,6.2,22,6.4,3.9,,,,,,,,
경상남도 창녕군,48740,,202,334.8,74.3,4,6.6,3.4,7,11.6,4.1,,,,,,,,
경상남도 창원시 마산합포구,48125,,288,162.7,64.9,19,10.7,6.8,15,8.5,3.3,,,,,,,,
경상남도 창원시 마산회원구,48127,,233,124,58.7,16,8.5,6.5,12,6.4,3.1,,,,,,,,
경상남도 창원시 의창구,48121,,249,111.1,61.4,15,6.7,4.5,10,4.5,2.5,,,,,,,,
경상남도 창원시 진해구,48129,,198,102.6,54.2,17,8.8,6.6,7,3.6,2.9,,,,,,,,
경상남도 통영시,48220,,210,166.5,67.6,12,9.5,5.4,11,8.7,5.5,,,,,,,,
경상남도 하동군,48850,,166,378.3,69.7,16,36.5,17.2,7,16,5.8,,,,,,,,
경상남도 함안군,48730,,149,236.4,68,9,14.3,9.7,3,4.8,1.3,,,,,,,,
경상남도 함양군,48870,,142,369.4,79.7,14,36.4,18.4,5,13,2.6,,,,,,,,
경상남도 합천군,48890,,172,399,68.3,16,37.1,10,6,13.9,3.5,,,,,,,,
경상북도 경산시,47290,,436,164.8,72.5,23,8.7,6.1,10,3.8,1.8,,,,,,,,
경상북도 경주시,47130,,463,184.2,59,40,15.9,10.4,25,9.9,3.9,,,,,,,,
경상북도 고령군,47830,,116,376.1,80.3,10,32.4,11.7,4,13,4.3,,,,,,,,
경상북도 구미시,47190,,346,83.8,58.8,31,7.5,6.4,17,4.1,3.4,,,,,,,,
경상북도 군위군,47720,,79,343.8,51.4,10,43.5,9.4,3,13.1,5.7,,,,,,,,
경상북도 김천시,47150,,256,183.1,53.8,22,15.7,10.3,21,15,6.3,,,,,,,,
경상북도 문경시,47280,,143,202.1,56,12,17,10.8,13,18.4,7.5,,,,,,,,
경상북도 봉화군,47920,,112,362.8,61.3,15,48.6,31.3,1,3.2,1,,,,,,,,
경상북도 상주시,47250,,216,225.2,48.6,37,38.6,18.8,9,9.4,2.2,,,,,,,,
경상북도 성주군,47840,,149,347.3,72.5,7,16.3,4.3,4,9.3,2.4,,,,,,,,
경상북도 안동시,47170,,294,186.9,52,26,16.5,8.5,20,12.7,4.7,,,,,,,,
경상북도 영덕군,47770,,152,427.7,74,8,22.5,15.8,2,5.6,2,,,,,,,,
경상북도 영양군,47760,,71,432.8,59.9,5,30.5,10.5,3,18.3,4.3,,,,,,,,
경상북도 영주시,47210,,231,226.4,59,18,17.6,15.3,9,8.8,4.8,,,,,,,,
경상북도 영천시,47230,,272,268.1,69.1,17,16.8,10.3,11,10.8,3,,,,,,,,
경상북도 예천군,47900,,118,212.8,52.9,10,18,6.6,9,16.2,3.5,,,,,,,,
경상북도 울릉군,47940,,13,146.9,40.1,1,11.3,4.6,5,56.5,19.5,,,,,,,,
경상북도 울진군,47930,,147,305.8,59.4,9,18.7,11,5,10.4,2.3,,,,,,,,
경상북도 의성군,47730,,212,417.2,63.2,18,35.4,14,6,11.8,3.3,,,,,,,,
경상북도 청도군,47820,,182,435,88.1,8,19.1,5.2,9,21.5,3.2,,,,,,,,
경상북도 청송군,47750,,65,263.4,48.9,7,28.4,22,7,28.4,6.1,,,,,,,,
경상북도 칠곡군,47850,,181,159.4,68.3,12,10.6,6.4,7,6.2,3.3,,,,,,,,
