,행정구역,sig_cd,구급차출동시간,기대수명,병원수,보건시설,구급차,의사수,지방소멸지수
80,경기도 광주시,41610,"31,356",84.0,3,160.04,9,1.3,0.745473315
81,경기도 양주시,41630,"34,897",83.02,6,183.07,9,1.8,0.646179019
82,경기도 포천시,41650,"28,050",81.96,4,185.07,12,1.8,0.39403491
83,경기도 여주시,41730,"29,862",82.37,2,171.58,7,2.0,0.372107252
84,경기도 가평군,41820,"28,581",82.06,2,179.55,6,1.8,0.265528634
85,강원도 춘천시,42110,"14,153",83.83,5,125.26,11,3.4,0.59619844
86,강원도 원주시,42130,"45,775",83.22,20,104.02,15,3.3,0.683346478
87,강원도 동해시,42170,"2,757",82.46,3,159.56,6,1.9,0.36482229
88,강원도 태백시,42190,"8,386",82.3,2,210.16,4,1.8,0.240209348
89,강원도 속초시,42210,29,82.96,2,115.83,4,2.3,0.436313756
90,강원도 삼척시,42230,"21,300",82.54,2,225.58,11,1.7,0.293825488
91,강원도 홍천군,42720,"22,873",81.68,3,190.15,11,1.9,0.23477712
92,강원도 횡성군,42730,"18,588",82.4,1,242.68,9,1.5,0.181893901
93,강원도 영월군,42750,"13,132",81.94,2,265.5,9,1.6,0.189571934
94,강원도 정선군,42770,"13,612",81.61,2,245.28,9,1.3,0.185094851
95,강원도 철원군,42780,"29,674",80.92,1,182.11,5,1.6,0.331174239
96,강원도 양구군,42800,"5,297",82.91,3,178.81,5,1.8,0.368877748
97,강원도 인제군,42810,"13,450",81.81,1,204.59,6,1.2,0.387749595
98,강원도 고성군,42820,"17,818",81.47,5,250.87,4,1.0,0.224169956
99,충청북도 충주시,43130,"48,604",82.49,5,146.8,12,2.3,0.414741427
100,충청북도 제천시,43150,"13,414",82.32,3,139.36,7,2.3,0.358105225
101,충청북도 보은군,43720,"11,416",82.62,1,187.2,5,2.2,0.140158796
102,충청북도 옥천군,43730,"12,899",82.11,1,174.28,6,2.0,0.19659471
103,충청북도 영동군,43740,"15,869",82.42,1,174.59,7,2.2,0.169628839
104,충청북도 진천군,43750,"16,076",83.25,2,136.69,7,1.7,0.546843768
105,충청북도 괴산군,43760,"17,741",81.79,2,229.55,7,1.8,0.129289648
106,충청북도 음성군,43770,"38,545",81.44,2,152.71,8,1.9,0.335680433
107,충청남도 공주시,44150,"27,178",83.3,1,160.46,11,2.4,0.298404095
108,충청남도 보령시,44180,"32,141",82.72,3,168.68,9,1.9,0.257127622
109,충청남도 아산시,44200,"33,614",83.04,8,124.7,11,1.8,0.821771612
110,충청남도 서산시,44210,"34,529",84.47,3,158.13,10,1.7,0.447799443
111,충청남도 논산시,44230,"22,236",82.51,3,153.97,10,2.8,0.267008713
112,충청남도 계룡시,44250,"25,340",84.72,1,113.15,2,1.5,0.744532642
113,충청남도 금산군,44710,"13,062",82.66,1,174.03,6,2.2,0.172473466
114,충청남도 부여군,44760,"21,023",82.74,1,203.96,6,2.0,0.152213132
