,지표연도,시군구,평균 기대수명,시도,군구,시군구 코드,순위
97,2019,강원도 인제군,81.81,강원도,인제군,42810,229
98,2019,강원도 고성군,81.47,강원도,고성군,42820,248
99,2019,충청북도 충주시,82.49,충청북도,충주시,43130,193
100,2019,충청북도 제천시,82.32,충청북도,제천시,43150,207
101,2019,충청북도 보은군,82.62,충청북도,보은군,43720,180
102,2019,충청북도 옥천군,82.11,충청북도,옥천군,43730,216
103,2019,충청북도 영동군,82.42,충청북도,영동군,43740,198
104,2019,충청북도 진천군,83.25,충청북도,진천군,43750,111
105,2019,충청북도 괴산군,81.79,충청북도,괴산군,43760,230
106,2019,충청북도 음성군,81.44,충청북도,음성군,43770,249
107,2019,충청남도 공주시,83.3,충청남도,공주시,44150,102
108,2019,충청남도 보령시,82.72,충청남도,보령시,44180,168
109,2019,충청남도 아산시,83.04,충청남도,아산시,44200,133
110,2019,충청남도 서산시,84.47,충청남도,서산시,44210,42
111,2019,충청남도 논산시,82.51,충청남도,논산시,44230,192
112,2019,충청남도 계룡시,84.72,충청남도,계룡시,44250,33
113,2019,충청남도 금산군,82.66,충청남도,금산군,44710,173
114,2019,충청남도 부여군,82.74,충청남도,부여군,44760,163
115,2019,충청남도 서천군,82.87,충청남도,서천군,44770,150
116,2019,충청남도 홍성군,83.28,충청남도,홍성군,44800,104
117,2019,충청남도 예산군,83.41,충청남도,예산군,44810,90
118,2019,충청남도 당진시,84.16,충청남도,당진시,44830,52
119,2019,전라북도 군산시,83.05,전라북도,군산시,45130,130
120,2019,전라북도 익산시,83.19,전라북도,익산시,45140,120
121,2019,전라북도 정읍시,82.74,전라북도,정읍시,45180,163
122,2019,전라북도 남원시,83.48,전라북도,남원시,45190,85
123,2019,전라북도 김제시,82.35,전라북도,김제시,45210,205
124,2019,전라북도 완주군,83.29,전라북도,완주군,45710,103
125,2019,전라북도 진안군,82.08,전라북도,진안군,45720,217
126,2019,전라북도 순창군,81.99,전라북도,순창군,45770,222
127,2019,전라북도 고창군,82.65,전라북도,고창군,45790,174
128,2019,전라북도 부안군,82.77,전라북도,부안군,45800,160
129,2019,전라남도 목포시,81.68,전라남도,목포시,46110,235
130,2019,전라남도 여수시,82.74,전라남도,여수시,46130,163
131,2019,전라남도 순천시,83.77,전라남도,순천시,46150,74
132,2019,전라남도 나주시,82.7,전라남도,나주시,46170,169
133,2019,전라남도 광양시,83.68,전라남도,광양시,46230,75
134,2019,전라남도 담양군,83.84,전라남도,담양군,46710,68
135,2019,전라남도 고흥군,82.35,전라남도,고흥군,46770,205
136,2019,전라남도 보성군,82.68,전라남도,보성군,46780,171
137,2019,전라남도 화순군,83.05,전라남도,화순군,46790,130
138,2019,전라남도 장흥군,82.41,전라남도,장흥군,46800,200
139,2019,전라남도 강진군,83.15,전라남도,강진군,46810,123
140,2019,전라남도 해남군,81.71,전라남도,해남군,46820,233
141,2019,전라남도 영암군,82.44,전라남도,영암군,46830,196
142,2019,전라남도 무안군,81.74,전라남도,무안군,46840,231
143,2019,전라남도 함평군,82.63,전라남도,함평군,46860,177
144,2019,전라남도 영광군,81.63,전라남도,영광군,46870,240
145,2019,전라남도 장성군,82.73,전라남도,장성군,46880,167
146,2019,전라남도 완도군,82.04,전라남도,완도군,46890,219
147,2019,전라남도 진도군,80.89,전라남도,진도군,46900,253
148,2019,전라남도 신안군,82.04,전라남도,신안군,46910,219
149,2019,경상북도 경주시,82.93,경상북도,경주시,47130,144
150,2019,경상북도 김천시,82.64,경상북도,김천시,47150,175
151,2019,경상북도 안동시,82.85,경상북도,안동시,47170,152
152,2019,경상북도 구미시,83.4,경상북도,구미시,47190,91
153,2019,경상북도 영주시,83.04,경상북도,영주시,47210,133
154,2019,경상북도 영천시,81.93,경상북도,영천시,47230,228
155,2019,경상북도 상주시,82.64,경상북도,상주시,47250,175
156,2019,경상북도 문경시,82.46,경상북도,문경시,47280,194
157,2019,경상북도 경산시,83.01,경상북도,경산시,47290,138
158,2019,경상북도 의성군,81.63,경상북도,의성군,47730,240
159,2019,경상북도 영덕군,82.29,경상북도,영덕군,47770,210
160,2019,경상북도 청도군,82.02,경상북도,청도군,47820,221
161,2019,경상북도 고령군,82.54,경상북도,고령군,47830,187
162,2019,경상북도 성주군,82.12,경상북도,성주군,47840,215
163,2019,경상북도 칠곡군,82.44,경상북도,칠곡군,47850,196
164,2019,경상북도 예천군,84.41,경상북도,예천군,47900,45
165,2019,경상북도 봉화군,82.95,경상북도,봉화군,47920,142
166,2019,경상북도 울진군,82.83,경상북도,울진군,47930,155
167,2019,경상남도 진주시,83.28,경상남도,진주시,48170,104
168,2019,경상남도 통영시,81.5,경상남도,통영시,48220,245
169,2019,경상남도 사천시,82.67,경상남도,사천시,48240,172
170,2019,경상남도 김해시,82.6,경상남도,김해시,48250,182
171,2019,경상남도 밀양시,81.53,경상남도,밀양시,48270,244
172,2019,경상남도 거제시,82.78,경상남도,거제시,48310,159
173,2019,경상남도 양산시,82.93,경상남도,양산시,48330,144
174,2019,경상남도 의령군,81.96,경상남도,의령군,48720,225
175,2019,경상남도 함안군,82.41,경상남도,함안군,48730,200
176,2019,경상남도 창녕군,81.49,경상남도,창녕군,48740,246
177,2019,경상남도 고성군,81.42,경상남도,고성군,48820,250
178,2019,경상남도 남해군,82.22,경상남도,남해군,48840,213
179,2019,경상남도 함양군,82.63,경상남도,함양군,48870,177
180,2019,경상남도 거창군,83.24,경상남도,거창군,48880,113
181,2019,경상남도 합천군,81.67,경상남도,합천군,48890,237
