,Unnamed: 0,소방서명,구급차 대수,주소,시군구 코드,시군구 ,2023년03월_계_총인구수,순위,인구별구급차
43,159,인천광역시 공단소방서,8,인천광역시 남동구 남동서로 208,28200,인천광역시 남동구,502526,167.0,1.5919574310582934e-05
44,162,인천광역시 부평소방서,10,인천광역시 부평구 부평대로 324,28237,인천광역시 부평구,490430,151.0,2.0390269763268967e-05
45,158,인천광역시 계양소방서,6,인천광역시 계양구 장제로 774,28245,인천광역시 계양구,286390,149.0,2.0950452180592897e-05
46,156,인천광역시 검단소방서,4,인천 서구 마전동 521-3,28260,인천광역시 서구,598675,182.0,6.681421472418257e-06
47,155,인천광역시 강화소방서,10,인천광역시 강화군 불은면 중앙로 505,28710,인천광역시 강화군,69541,27.0,0.00014380006039602537
48,95,광주광역시 동부소방서,6,광주광역시 동구 제봉로 210(대인동),29110,광주광역시 동구,106247,85.0,5.647218274398336e-05
49,97,광주광역시 서부소방서,8,광주광역시 서구 화운로 197(화정동),29140,광주광역시 서구,286826,123.0,2.7891474273601418e-05
50,94,광주광역시 남부소방서,7,광주광역시 남구 송암로58번길 13(송하동),29155,광주광역시 남구,211563,115.0,3.308707099067417e-05
51,96,광주광역시 북부소방서,11,광주광역시 북구 서하로 290(오치동),29170,광주광역시 북구,423723,131.0,2.5960356176086734e-05
52,93,광주광역시 광산소방서,11,광주광역시 광산구 하남산단1번로 13(하남동),29200,광주광역시 광산구,399149,124.0,2.7558630987425747e-05
53,107,대전광역시 동부소방서,9,대전광역시 동구 계족로 300,30110,대전광역시 동구,219576,105.0,4.0988086129631653e-05
54,105,대구광역시 중부소방서,9,대구광역시 중구 달구벌대로 1926,30140,대전광역시 중구,226080,106.0,3.980891719745223e-05
55,108,대전광역시 둔산소방서,6,대전광역시 서구 갈마중로 15,30170,대전광역시 서구,469386,178.0,1.2782656491672099e-05
56,110,대전광역시 유성소방서,7,대전광역시 유성구 대덕대로 516,30200,대전광역시 유성구,358798,153.0,1.9509584780294205e-05
57,106,대전광역시 대덕소방서,6,대전광역시 대덕구 계족로 682,30230,대전광역시 대덕구,171679,113.0,3.494894541557209e-05
58,154,울산광역시 중부소방서,6,울산광역시 중구 종가로 205,31110,울산광역시 중구,207028,121.0,2.8981587031705858e-05
59,149,울산광역시 남부소방서,10,울산광역시 남구 삼산중로 149,31140,울산광역시 남구,309906,117.0,3.2267848960652586e-05
60,150,울산광역시 동부소방서,4,울산광역시 동구 꽃바위2가길 9,31170,울산광역시 동구,151009,129.0,2.6488487441145892e-05
61,151,울산광역시 북부소방서,6,울산광역시 북구 화동로 178,31200,울산광역시 북구,218747,126.0,2.7428947596995617e-05
62,152,울산광역시 온산소방서,7,울산광역시 울주군 온산읍 덕신로 232,31710,울산광역시 울주군,221056,119.0,3.1666184134337e-05
63,44,경기도 의정부소방서,10,경기도 의정부시 금오로23번길 22-40,41150,경기도 의정부시,462637,145.0,2.161521884328318e-05
64,28,경기도 부천소방서,11,경기도 부천시 신흥로 115 ,41190,경기도 부천시,787813,173.0,1.3962704347351466e-05
65,21,경기도 광명소방서,5,경기도 광명시 금하로 472,41210,경기도 광명시,285198,161.0,1.7531679745299756e-05
66,31,경기도 송탄소방서,7,경기도 평택시 경기대로 1627(신장동),41220,경기도 평택시,583029,179.0,1.2006263839363051e-05
67,27,경기도 동두천소방서,4,경기도 동두천시 지행로 6,41250,경기도 동두천시,90582,98.0,4.415888366342099e-05
68,23,경기도 구리소방서,4,경기도 구리시 아차산로487번길 46,41310,경기도 구리시,188709,147.0,2.1196657287145818e-05
69,26,경기도 남양주소방서,12,경기도 남양주시 평내동 평내로 25,41360,경기도 남양주시,735649,165.0,1.6312127114969232e-05
70,41,경기도 오산소방서,5,경기도 오산시 문헌공로 30,41370,경기도 오산시,229247,143.0,2.1810536233843844e-05
71,34,경기도 시흥소방서,8,경기도 시흥시 정왕신길로 206,41390,경기도 시흥시,517336,169.0,1.5463837815268992e-05
72,24,경기도 군포소방서,5,경기도 군포시 고산로 429,41410,경기도 군포시,265252,155.0,1.884999924600003e-05
73,43,경기도 의왕소방서,4,경기도 의왕시 오봉로 9 ,41430,경기도 의왕시,159246,133.0,2.511837032013363e-05
74,49,경기도 하남소방서,5,경기도 하남시 대청로 76,41450,경기도 하남시,326768,170.0,1.5301375899720904e-05
75,47,경기도 파주소방서,12,경기도 파주시 파주읍 통일로 1564 ,41480,경기도 파주시,496450,135.0,2.4171618491288146e-05
76,45,경기도 이천소방서,7,경기도 이천시 경충대로 2739,41500,경기도 이천시,222148,120.0,3.151052451518807e-05
77,36,경기도 안성소방서,8,경기도 안성시 미양로 855 ,41550,경기도 안성시,188574,100.0,4.2423663919734426e-05
78,25,경기도 김포소방서,11,경기도 김포시 감암로 111,41570,경기도 김포시,484514,141.0,2.270316234412215e-05
79,50,경기도 화성소방서,15,경기도도 화성시 향남읍 향남로 399,41590,경기도 화성시,922231,166.0,1.6264905430418194e-05
80,22,경기도 광주소방서,9,경기도 광주시 초월읍 무들로 112 광주소방서,41610,경기도 광주시,390949,139.0,2.3020905540108813e-05
81,38,경기도 양주소방서,9,경기도 양주시 꿈나무로 156,41630,경기도 양주시,122661,72.0,7.337295472888693e-05
82,48,경기도 포천소방서,12,경기도 포천시 호국로 1538,41650,경기도 포천시,145614,61.0,8.240965841196589e-05
83,39,경기도 여주소방서,7,경기도 여주시 우암로 110,41730,경기도 여주시,113209,81.0,6.183253981573902e-05
84,18,경기도 가평소방서,6,경기도 가평군 가평읍 가화로 36,41820,경기도 가평군,61969,49.0,9.68226048508125e-05
85,12,강원도 춘천소방서,11,강원도 춘천시 후석로 446(후평동),42110,강원도 춘천시,286850,109.0,3.8347568415548195e-05
86,8,강원도 원주소방서,15,강원도 원주시 동부순환로 201(반곡동),42130,강원도 원주시,360752,102.0,4.1579811061338536e-05
87,2,강원도 동해소방서,6,강원도 동해시 천곡로 120(천곡동),42170,강원도 동해시,89186,78.0,6.727513286838742e-05
88,13,강원도 태백소방서,4,강원도 태백시 태백로 1120(황지동),42190,강원도 태백시,39050,45.0,0.00010243277848911651
89,4,강원도 속초소방서,4,강원도 속초시 미시령로 3226,42210,강원도 속초시,82541,94.0,4.8460764953174785e-05
90,3,강원도 삼척소방서,11,강원도 삼척시 봉황로 101,42230,강원도 삼척시,63487,13.0,0.0001732638177894687
91,15,강원도 홍천소방서,11,강원도 홍천군 홍천읍 공작산로 99,42720,강원도 홍천군,67759,19.0,0.00016234005814725719
92,17,강원도 횡성소방서,9,강원도 횡성군 횡성읍 문예로 157,42730,강원도 횡성군,46621,8.0,0.00019304605220823233
93,7,강원도 영월소방서,9,강원도 영월군 영월읍 영월로 1863,42750,강원도 영월군,37656,2.0,0.0002390057361376673
94,10,강원도 정선소방서,9,강원도 정선군 정선읍 녹송로 27,42770,강원도 정선군,34759,1.0,0.00025892574584999566
95,11,강원도 철원소방서,5,강원도 철원군 갈말읍 태봉로 1504,42780,강원도 철원군,41994,39.0,0.0001190646282802305
96,5,강원도 양구소방서,5,강원도 양구군 양구읍 중심로 92,42800,강원도 양구군,21351,3.0,0.00023418106880239802
97,9,강원도 인제소방서,6,강원도 인제군 인제읍 비봉로 44번길 71,42810,강원도 인제군,32089,10.0,0.00018697996198074106
98,1,강원도 고성소방서,4,강원도 고성군 간성읍 수성로 37-11,42820,강원도 고성군,27155,25.0,0.00014730252255569878
99,230,충청북도 충주소방서,12,충청북도 충주시 목행산단7로 9,43130,충청북도 충주시,208001,83.0,5.769203032677727e-05
100,225,충청북도 제천소방서,7,충청북도 제천시 신죽하로 164,43150,충청북도 제천시,131551,90.0,5.321130208056191e-05
101,221,충청북도 보은소방서,5,충청북도 보은군 보은읍 남부로 4415,43720,충청북도 보은군,31414,21.0,0.00015916470363532182
102,223,충청북도 옥천소방서,6,충청북도 옥천군 옥천읍 동부로 15,43730,충청북도 옥천군,49311,36.0,0.00012167670499482874
103,222,충청북도 영동소방서,7,충청북도 영동군 영동읍 영동황간로 174,43740,충청북도 영동군,44730,22.0,0.00015649452269170578
104,227,충청북도 진천소방서,7,충청북도 진천군 진천읍 진광로 93,43750,충청북도 진천군,85842,63.0,8.154516437175276e-05
105,219,충청북도 괴산소방서,7,충청북도 괴산군 괴산읍 괴강로 69,43760,충청북도 괴산군,36835,9.0,0.00019003664992534275
106,224,충청북도 음성소방서,8,충청북도 음성군 금왕읍 응천서길 11,43770,충청북도 음성군,91825,58.0,8.712224339776749e-05
107,204,충청남도 공주소방서,11,충청남도 공주시 무령로 55,44150,충청남도 공주시,102697,43.0,0.00010711121064880181
108,208,충청남도 보령소방서,9,충청남도 보령시 성주산로 63,44180,충청남도 보령시,96756,55.0,9.301748728761008e-05
109,212,충청남도 아산소방서,11,충청남도 아산시 모종로 77,44200,충청남도 아산시,336690,116.0,3.267100299979209e-05
110,210,충청남도 서산소방서,10,충청남도 서산시 호수공원 14로 26-4,44210,충청남도 서산시,176150,84.0,5.676979846721544e-05
111,206,충청남도 논산소방서,10,충청남도 논산시 대학로 17,44230,충청남도 논산시,111914,57.0,8.935432564290438e-05
112,203,충청남도 계룡소방서,2,충청남도 계룡시 엄사면 문화로32,44250,충청남도 계룡시,44918,97.0,4.452557994567879e-05
113,205,충청남도 금산소방서,6,충청남도 금산군 금산읍 삼풍로 2,44710,충청남도 금산군,50318,38.0,0.00011924162327596486
114,209,충청남도 부여소방서,6,충청남도 부여군 규암면 계백로17,44760,충청남도 부여군,61956,48.0,9.68429207824908e-05
115,211,충청남도 서천소방서,7,충청남도 서천군 장항읍 장항로 37,44770,충청남도 서천군,49732,28.0,0.00014075444381886915
116,218,충청남도 홍성소방서,9,충청남도 홍성군 홍성읍 충절로 741,44800,충청남도 홍성군,97288,56.0,9.250883973357454e-05
117,213,충청남도 예산소방서,6,충청남도 예산군 오가면 오가중앙로 111,44810,충청남도 예산군,78451,70.0,7.648086066461867e-05
118,207,충청남도 당진소방서,12,충청남도 당진시 역천로 838,44830,충청남도 당진군,168673,75.0,7.114357366027757e-05
119,187,전라북도 군산소방서,14,전라북도 군산시 번영로 308,45130,전라북도 군산시,261601,89.0,5.3516614997649093e-05
120,193,전라북도 익산소방서,15,전라북도 익산시 무왕로 1338,45140,전라북도 익산시,272602,87.0,5.502527494295713e-05
121,197,전라북도 정읍소방서,8,전라북도 정읍시 서부산업도로 507-5,45180,전라북도 정읍시,104590,69.0,7.648914810211302e-05
122,189,전라북도 남원소방서,10,전라북도 남원시 요천로 1965,45190,전라북도 남원시,77549,33.0,0.00012895072792685913
123,188,전라북도 김제소방서,6,전라북도 김제시 벽성로 278,45210,전라북도 김제시,81893,74.0,7.326633534001685e-05
124,192,전라북도 완주소방서,9,전라북도 완주군 삼례읍 삼봉로 518,45710,전라북도 완주군,94265,51.0,9.547552113721954e-05
125,198,전라북도 진안소방서,5,전라북도 진안군 진안읍 쇠징계로 9,45720,전라북도 진안군,24651,7.0,0.00020283152813273296
126,191,전라북도 순창소방서,5,전라북도 순창군 순창읍 교성로 24,45770,전라북도 순창군,26760,11.0,0.0001868460388639761
127,186,전라북도 고창소방서,6,전라북도 고창군 고창읍 녹두로 1294,45790,전라북도 고창군,52205,40.0,0.0001149315199693516
128,190,전라북도 부안소방서,7,전라북도 부안군 행안면 변산로 86,45800,전라북도 부안군,50122,29.0,0.0001396592314752005
129,171,전라남도 목포소방서,8,전라남도 목포시 삼향천로 110,46110,전라남도 목포시,215956,111.0,3.7044583155828036e-05
130,176,전라남도 여수소방서,12,전라남도 여수시 망마로 20,46130,전라남도 여수시,273917,99.0,4.380889101443138e-05
131,174,전라남도 순천소방서,14,전라남도 순천시 서면 삼산로 281,46150,전라남도 순천시,278649,92.0,5.0242419674931543e-05
132,169,전라남도 나주소방서,9,전라남도 나주시 예향로 4201,46170,전라남도 나주시,116842,68.0,7.702709642080758e-05
133,168,전라남도 광양소방서,6,전라남도 광양시 중마중앙로 109,46230,전라남도 광양시,152070,107.0,3.9455513908068655e-05
134,170,전라남도 담양소방서,7,전라남도 담양군 담양읍 추성로 1232,46710,전라남도 담양군,45655,24.0,0.00015332384185740884
