,진짜 구급차 출동시간 표준화,기대수명 표준화,병원수 표준화,보건시설 표준화,구급차 표준화,의사수 표준화,지방소멸지수 표준화,
0,1,0.708333333,0.125,0.087670091,0.384615385,1,0.533189596,
1,1,0.716346154,0.1,0.049387863,0.230769231,0.457711443,0.554715074,
2,1,0.767628205,0.05,0.281052193,0.307692308,0.129353234,0.664849186,
3,1,0.719551282,0.125,0.258234469,0.153846154,0.129353234,0.669638954,
4,1,0.674679487,0.125,0.219497404,0.307692308,0.139303483,0.798917913,
5,1,0.581730769,0.4,0.259030436,0.384615385,0.218905473,0.578370601,
6,1,0.511217949,0.375,0.368381155,0.384615385,0.084577114,0.501102263,
7,1,0.644230769,0.15,0.382140014,0.307692308,0.104477612,0.568195854,
8,1,0.5,0.225,0.396353713,0.384615385,0.074626866,0.367767421,
9,1,0.605769231,0.125,0.514649585,0.307692308,0.049751244,0.365658325,
10,1,0.583333333,0.2,0.316188455,0.538461538,0.119402985,0.471294536,
11,1,0.629807692,0.275,0.345146496,0.461538462,0.084577114,0.514022137,
12,1,0.735576923,0.15,0.315202972,0.384615385,0.293532338,0.620259881,
13,1,0.719551282,0.1,0.142895046,0.538461538,0.094527363,0.883046243,
14,1,0.626602564,0.175,0.254823182,0.461538462,0.109452736,0.50985495,
15,1,0.591346154,0.5,0.265511883,0.307692308,0.094527363,0.683701953,
16,1,0.655448718,0.225,0.330970701,0.461538462,0.134328358,0.528492285,
17,1,0.469551282,0.1,0.27911913,0.230769231,0.074626866,0.585231452,
18,1,0.729166667,0.375,0.180836144,0.461538462,0.2039801,0.751885947,
19,1,0.798076923,0.15,0.289542508,0.307692308,0.139303483,0.658698562,
20,1,0.616987179,0.275,0.296137664,0.461538462,0.059701493,0.859062116,
21,1,1,0.325,0.056096729,0.153846154,0.333333333,0.642193032,
22,1,0.956730769,0.9,0,0.615384615,0.60199005,0.665631933,
23,1,0.823717949,0.575,0.179433726,0.538461538,0.223880597,0.693669488,
24,1,0.663461538,0.425,0.210969185,0.461538462,0.189054726,0.571008318,
25,1,0.208333333,0.05,0.189781299,0.384615385,0.303482587,0.268582603,
26,0.999078123,0.121794872,0.075,0.707463139,0.230769231,0.069651741,0.139310981,
27,1,0.360576923,0.5,0.203540158,0.538461538,0.223880597,0.448913314,
28,1.00E+00,0.4375,0.35,0.276958648,0.538461538,0.124378109,0.353248374,
29,0.516126621,0.270833333,0.475,0.405564189,0.384615385,0.069651741,0.306119099,
30,0.998368028,0.375,0.25,0.399992419,0.461538462,0.074626866,0.286420731,
31,0.99207684,0.370192308,0.15,0.382140014,0.307692308,0.009950249,0.641443919,
32,1,0.469551282,0.3,0.298146534,0.461538462,0.109452736,0.350268882,
33,0.998255908,0.52724359,0.2,0.318841678,0.461538462,0.139303483,0.386301474,
34,1,0.128205128,0.2,0.501724595,0.692307692,0.084577114,0.34046175,
