,Unnamed: 0,시군구 코드,데이터 개수,시군구 ,2023년03월_계_총인구수,순위,인구별데이터
168,99,48220,7,경상남도 통영시,121903,26.0,5.74227049375323e-05
169,137,48240,4,경상남도 사천시,109068,78.0,3.667436828400631e-05
170,3,48250,28,경상남도 김해시,533541,34.0,5.2479565769078664e-05
171,97,48270,7,경상남도 밀양시,102707,16.0,6.815504298635925e-05
172,66,48310,9,경상남도 거제시,235350,70.0,3.824091778202677e-05
173,42,48330,13,경상남도 양산시,353816,77.0,3.6742261514459496e-05
174,200,48720,1,경상남도 의령군,25898,67.0,3.861302031044868e-05
175,153,48730,3,경상남도 함안군,61100,43.0,4.9099836333878886e-05
176,178,48740,2,경상남도 창녕군,57998,83.0,3.4483947722335256e-05
177,179,48820,2,경상남도 고성군,50115,62.0,3.9908211114436796e-05
178,206,48840,1,경상남도 남해군,41425,125.0,2.4140012070006035e-05
179,207,48870,1,경상남도 함양군,37386,110.0,2.6747980527470175e-05
180,154,48880,3,경상남도 거창군,60462,41.0,4.961794184777215e-05
181,194,48890,1,경상남도 합천군,41919,127.0,2.3855530904840287e-05
