시군구별,순환계통 사망자수,운수사고 사망자수,낙상(추락) 사망자수,사망자수 합계
　　　33320 보은군,108,4,8,120
　　　33330 옥천군,106,8,5,119
　　　33340 영동군,138,8,5,151
　　　33350 진천군,111,14,5,130
　　　33360 괴산군,98,9,3,110
　　　33370 음성군,148,11,7,166
　　　33380 단양군,79,4,7,90
　　　33390 증평군,47,7,4,58
34 충청남도,"2,932",290,143,"3,365"
　　　34010 천안시,539,44,36,619
　　　34011 동남구,285,21,20,326
　　　34012 서북구,254,23,16,293
　　　34020 공주시,216,17,9,242
　　　34030 보령시,202,18,3,223
　　　34040 아산시,297,28,13,338
　　　34050 서산시,187,24,14,225
　　　34060 논산시,230,20,13,263
　　　34070 계룡시,21,2,0,23
　　　34080 당진시,198,38,7,243
　　　34310 금산군,126,11,2,139
　　　34320 연기군,,,,0
　　　34330 부여군,179,12,10,201
　　　34340 서천군,185,14,7,206
　　　34350 청양군,100,12,2,114
　　　34360 홍성군,162,12,10,184
　　　34370 예산군,189,23,15,227
　　　34380 태안군,101,15,2,118
　　　34390 당진군,,,,0
35 전라북도,"2,835",255,101,"3,191"
　　　35010 전주시,695,57,23,775
　　　35011 완산구,386,31,13,430
　　　35012 덕진구,309,26,10,345
　　　35020 군산시,363,36,15,414
　　　35030 익산시,401,33,15,449
　　　35040 정읍시,197,19,16,232
　　　35050 남원시,154,12,7,173
　　　35060 김제시,204,11,7,222
　　　35310 완주군,178,17,0,195
　　　35320 진안군,77,11,3,91
　　　35330 무주군,68,2,2,72
　　　35340 장수군,41,9,0,50
　　　35350 임실군,85,11,3,99
　　　35360 순창군,77,9,2,88
　　　35370 고창군,143,13,4,160
　　　35380 부안군,152,15,4,171
36 전라남도,"3,432",325,122,"3,879"
　　　36010 목포시,248,28,6,282
　　　36020 여수시,415,27,15,457
　　　36030 순천시,382,37,17,436
　　　36040 나주시,209,19,9,237
　　　36060 광양시,111,20,6,137
　　　36310 담양군,120,4,4,128
　　　36320 곡성군,84,4,2,90
　　　36330 구례군,96,2,1,99
　　　36350 고흥군,192,20,6,218
　　　36360 보성군,137,22,4,163
　　　36370 화순군,122,6,6,134
　　　36380 장흥군,119,15,0,134
　　　36390 강진군,69,8,1,78
　　　36400 해남군,239,16,10,265
　　　36410 영암군,99,12,2,113
　　　36420 무안군,145,20,9,174
　　　36430 함평군,66,10,2,78
　　　36440 영광군,116,10,5,131
　　　36450 장성군,113,9,7,129
　　　36460 완도군,151,14,5,170
　　　36470 진도군,88,8,4,100
　　　36480 신안군,111,14,1,126
37 경상북도,"4,940",390,233,"5,563"
　　　37010 포항시,686,44,33,763
　　　37011 남구,312,19,14,345
　　　37012 북구,374,25,19,418
　　　37020 경주시,463,40,25,528
　　　37030 김천시,256,22,21,299
　　　37040 안동시,294,26,20,340
　　　37050 구미시,346,31,17,394
　　　37060 영주시,231,18,9,258
　　　37070 영천시,272,17,11,300
　　　37080 상주시,216,37,9,262
　　　37090 문경시,143,12,13,168
　　　37100 경산시,436,23,10,469
　　　37310 군위군,79,10,3,92
　　　37320 의성군,212,18,6,236
　　　37330 청송군,65,7,7,79
　　　37340 영양군,71,5,3,79
　　　37350 영덕군,152,8,2,162
　　　37360 청도군,182,8,9,199
　　　37370 고령군,116,10,4,130
　　　37380 성주군,149,7,4,160
　　　37390 칠곡군,181,12,7,200
　　　37400 예천군,118,10,9,137
　　　37410 봉화군,112,15,1,128
　　　37420 울진군,147,9,5,161
　　　37430 울릉군,13,1,5,19
38 경상남도,"5,156",372,205,"5,733"
　　　38010 창원시,,,,0
　　　38020 마산시,,,,0
　　　38021 합포구,,,,0
　　　38022 회원구,,,,0
　　　38030 진주시,588,34,22,644
　　　38040 진해시,,,,0
　　　38050 통영시,210,12,11,233
　　　38060 사천시,230,36,7,273
　　　38110 통합창원시,"1,145",77,49,"1,271"
　　　38111 의창구,249,15,10,274
　　　38112 성산구,177,10,5,192
　　　38113 마산합포구,288,19,15,322
　　　38114 마산회원구,233,16,12,261
　　　38115 진해구,198,17,7,222
　　　38070 김해시,533,37,27,597
　　　38080 밀양시,243,15,10,268
　　　38090 거제시,258,16,10,284
　　　38100 양산시,397,27,14,438
　　　38310 의령군,108,9,6,123
　　　38320 함안군,149,9,3,161
　　　38330 창녕군,202,4,7,213
　　　38340 고성군,179,10,4,193
　　　38350 남해군,155,11,5,171
　　　38360 하동군,166,16,7,189
　　　38370 산청군,125,16,5,146
　　　38380 함양군,142,14,5,161
　　　38390 거창군,154,13,7,174
　　　38400 합천군,172,16,6,194
39 제주도,760,52,29,841
　　　39010 제주시,551,32,18,601
　　　39020 서귀포시,209,20,11,240
　　　39310 북제주군,,,,0
　　　39320 남제주군,,,,0
