,행정구역,순위,인구 1000명당 의사수,코드
157,경상북도 경산시,137,2.0,47290
158,경상북도 의성군,137,2.0,47730
159,경상북도 영덕군,137,2.0,47770
160,경상북도 청도군,114,2.2,47820
161,경상북도 고령군,169,1.8,47830
162,경상북도 성주군,137,2.0,47840
163,경상북도 칠곡군,219,1.3,47850
164,경상북도 예천군,184,1.7,47900
165,경상북도 봉화군,206,1.5,47920
166,경상북도 울진군,154,1.9,47930
167,경상남도 진주시,38,3.4,48170
168,경상남도 통영시,154,1.9,48220
169,경상남도 사천시,128,2.1,48240
170,경상남도 김해시,128,2.1,48250
171,경상남도 밀양시,169,1.8,48270
172,경상남도 거제시,206,1.5,48310
173,경상남도 양산시,30,3.6,48330
174,경상남도 의령군,206,1.5,48720
175,경상남도 함안군,197,1.6,48730
176,경상남도 창녕군,114,2.2,48740
177,경상남도 고성군,169,1.8,48820
178,경상남도 남해군,184,1.7,48840
179,경상남도 함양군,169,1.8,48870
180,경상남도 거창군,137,2.0,48880
181,경상남도 합천군,114,2.2,48890
