,시군구,sig_cd,구급차출동시간,기대수명,병원수,보건시설,구급차수,의사수,지방소멸,EMCI,EMCI순위
116,충청남도 홍성군,44800,108.0,104,178.0,119.5,56.0,114,117.0,796.5,69.0
60,울산광역시 동구,31170,181.0,200,176.0,54.5,129.0,24,31.0,795.5,70.0
139,전라남도 강진군,46810,182.0,123,100.0,144.0,5.0,75,166.0,795.0,71.0
71,경기도 시흥시,41390,145.5,97,167.0,26.5,169.0,184,4.0,793.0,72.0
148,전라남도 신안군,46910,114.0,219,32.0,151.0,6.0,83,171.0,776.0,73.0
107,충청남도 공주시,44150,117.0,102,179.0,113.0,43.0,94,125.0,773.0,74.0
109,충청남도 아산시,44200,135.0,133,129.0,72.5,116.0,169,17.0,771.5,75.0
123,전라북도 김제시,45210,84.0,205,46.0,116.5,74.0,94,149.0,768.5,76.0
76,경기도 이천시,41500,154.0,89,136.0,65.0,120.0,169,33.0,766.0,77.0
101,충청북도 보은군,43720,47.0,180,94.0,139.5,21.0,114,168.0,763.5,78.0
127,전라북도 고창군,45790,85.0,174,68.0,127.5,40.0,103,165.0,762.5,79.0
111,충청남도 논산시,44230,105.0,192,109.0,102.0,57.0,60,128.0,753.0,80.0
36,대구광역시 동구,27140,150.0,121,112.0,83.5,128.0,65,91.0,750.5,81.0
29,부산광역시 사하구,26380,142.0,183,18.0,80.5,138.0,94,94.0,749.5,82.0
81,경기도 양주시,41630,137.0,136,45.0,135.5,72.0,169,51.0,745.5,83.0
147,전라남도 진도군,46900,46.0,253,17.0,124.0,14.0,128,162.0,744.0,84.0
66,경기도 평택시,41220,126.0,115,118.0,40.5,179.0,154,10.0,742.5,85.0
134,전라남도 담양군,46710,147.0,68,140.0,124.0,24.0,94,145.0,742.0,86.0
118,충청남도 당진시,44830,134.0,52,102.0,99.5,75.0,197,81.0,740.5,87.0
31,부산광역시 강서구,26440,164.0,119,44.0,72.5,101.0,224,12.0,736.5,88.0
170,경상남도 김해시,48250,162.0,182,34.0,47.5,171.0,128,11.0,735.5,89.0
144,전라남도 영광군,46870,81.0,240,69.0,106.5,41.0,60,136.0,733.5,90.0
89,강원도 속초시,42210,121.5,141,124.0,60.0,94.0,103,88.0,731.5,91.0
133,전라남도 광양시,46230,166.0,75,92.0,60.0,107.0,206,21.0,727.0,92.0
69,경기도 남양주시,41360,55.0,62,132.0,83.5,165.0,197,32.0,726.5,93.0
75,경기도 파주시,41480,97.0,81,101.0,88.5,135.0,197,22.0,721.5,94.0
74,경기도 하남시,41450,148.0,34,144.0,40.5,170.0,169,15.0,720.5,95.0
96,강원도 양구군,42800,159.0,148,2.0,130.5,3.0,169,108.0,719.5,96.0
125,전라북도 진안군,45720,54.0,217,8.0,148.5,7.0,114,167.0,715.5,97.0
130,전라남도 여수시,46130,92.0,163,79.0,88.5,99.0,103,89.0,713.5,98.0
121,전라북도 정읍시,45180,106.0,163,48.0,93.0,69.0,103,131.0,713.0,99.0
104,충청북도 진천군,43750,78.0,111,131.0,83.5,63.0,184,60.0,710.5,100.0
46,인천광역시 서구,28260,121.5,99,121.0,47.5,182.0,128,9.0,708.0,101.0
9,서울특별시 도봉구,11320,20.0,35,155.0,113.0,154.0,137,92.0,706.0,102.5
42,인천광역시 연수구,28185,128.0,48,172.0,19.0,177.0,154,8.0,706.0,102.5
43,인천광역시 동구,28200,138.0,101,106.0,106.5,167.0,38,41.0,697.5,104.0
57,대전광역시 대덕구,30230,161.0,104,81.0,65.0,113.0,103,65.0,692.0,105.0
61,울산광역시 북구,31200,41.0,169,108.0,26.5,126.0,219,2.0,691.5,106.0
79,경기도 화성시,41590,144.0,49,158.0,19.0,166.0,154,1.0,691.0,107.0
152,경상북도 구미시,47190,140.0,91,168.0,19.0,127.0,137,7.0,689.0,108.0
153,경상북도 영주시,47210,57.0,133,42.0,139.5,82.0,103,129.0,685.5,109.0
129,전라남도 목포시,46110,151.0,235,3.0,69.0,111.0,44,70.0,683.0,110.0
132,전라남도 나주시,46170,63.0,169,119.0,93.0,68.0,65,105.0,682.0,111.0
151,경상북도 안동시,47170,118.0,152,65.0,113.0,60.0,55,118.0,681.0,112.0
53,대전광역시 동구,30110,42.0,126,160.0,69.0,105.0,94,84.0,680.0,113.0
172,경상남도 거제시,48310,64.0,159,70.0,54.5,110.0,206,14.0,677.5,114.0
143,전라남도 함평군,46860,53.0,177,19.0,144.0,32.0,75,172.0,672.0,115.0
138,전라남도 장흥군,46800,71.0,200,7.0,130.5,15.0,75,164.0,662.5,116.0
112,충청남도 계룡시,44250,113.0,33,138.0,54.5,97.0,206,13.0,654.5,117.0
34,부산광역시 사상구,26530,20.0,234,53.0,106.5,88.0,65,87.0,653.5,118.0
128,전라북도 부안군,45800,70.0,160,4.0,135.5,29.0,94,159.0,651.5,119.0
120,전라북도 익산시,45140,139.0,120,90.0,77.0,87.0,38,96.0,647.0,120.0
180,경상남도 거창군,48880,56.0,113,41.0,119.5,47.0,137,130.0,643.5,121.0
58,울산광역시 중구,31110,20.0,136,86.0,77.0,121.0,137,64.0,641.0,122.0
37,대구광역시 서구,27170,20.0,224,38.0,96.0,71.0,75,116.0,640.0,123.0
54,대전광역시 중구,30140,170.0,70,113.0,65.0,106.0,12,90.0,626.0,124.0
41,인천광역시 중구,28110,177.0,96,115.0,106.5,79.0,21,24.0,618.5,125.0
122,전라북도 남원시,45190,76.0,85,117.0,88.5,33.0,83,133.0,615.5,126.0
119,전라북도 군산시,45130,43.0,130,84.0,77.0,89.0,94,85.0,602.0,127.5
173,경상남도 양산시,48330,127.0,144,77.0,65.0,122.0,30,37.0,602.0,127.5
30,부산광역시 금정구,26410,68.0,115,40.0,77.0,112.0,83,106.0,601.0,129.0
38,대구광역시 북구,27230,143.0,108,30.0,54.5,148.0,75,42.0,600.5,130.5
85,강원도 춘천시,42110,69.0,69,166.0,72.5,109.0,38,77.0,600.5,130.5
