,행정구역,순위,취약인구 수(명),비율(%),시군구코드
123,전라북도 김제시,84.0,"17,141",0.55,45210
124,전라북도 완주군,153.0,"43,637",1.39,45710
125,전라북도 진안군,54.0,"11,938",0.38,45720
126,전라북도 순창군,167.0,"7,853",0.25,45770
127,전라북도 고창군,85.0,"17,603",0.56,45790
128,전라북도 부안군,70.0,"14,293",0.45,45800
129,전라남도 목포시,151.0,424,0.01,46110
130,전라남도 여수시,92.0,"19,834",0.63,46130
131,전라남도 순천시,75.0,"15,543",0.49,46150
132,전라남도 나주시,63.0,"13,173",0.42,46170
133,전라남도 광양시,166.0,"7,829",0.25,46230
134,전라남도 담양군,147.0,"4,230",0.13,46710
135,전라남도 고흥군,107.0,"22,672",0.72,46770
136,전라남도 보성군,172.0,"8,227",0.26,46780
137,전라남도 화순군,59.0,"12,663",0.4,46790
138,전라남도 장흥군,71.0,"14,739",0.47,46800
139,전라남도 강진군,182.0,"9,322",0.3,46810
140,전라남도 해남군,131.0,"31,814",1.01,46820
141,전라남도 영암군,74.0,"15,402",0.49,46830
142,전라남도 무안군,80.0,"16,391",0.52,46840
143,전라남도 함평군,53.0,"11,912",0.38,46860
144,전라남도 영광군,81.0,"16,497",0.53,46870
145,전라남도 장성군,174.0,"8,433",0.27,46880
146,전라남도 완도군,91.0,"19,628",0.62,46890
147,전라남도 진도군,46.0,"11,107",0.35,46900
148,전라남도 신안군,114.0,"25,722",0.82,46910
149,경상북도 경주시,168.0,"72,559",2.31,47130
150,경상북도 김천시,102.0,"21,120",0.67,47150
151,경상북도 안동시,118.0,"27,613",0.88,47170
152,경상북도 구미시,140.0,"36,391",1.16,47190
153,경상북도 영주시,57.0,"12,620",0.4,47210
154,경상북도 영천시,116.0,"26,976",0.86,47230
155,경상북도 상주시,123.0,"29,535",0.94,47250
156,경상북도 문경시,99.0,"20,574",0.65,47280
157,경상북도 경산시,152.0,"43,099",1.37,47290
158,경상북도 의성군,88.0,"18,398",0.59,47730
159,경상북도 영덕군,51.0,"11,828",0.38,47770
