,시군구,계,남자,여자,노인수,가임기여성,인구소멸지수,노인인구비율, 시군구 코드 ,순위
134,전라남도 담양군,45611,23064,22547,15179,3319,0.218657356,0.332792528,46710.0,145.0
135,전라남도 고흥군,61618,30045,31573,26820,2964,0.110514541,0.435262423,46770.0,181.0
136,전라남도 보성군,38234,18759,19475,15876,1972,0.124212648,0.415232516,46780.0,179.0
137,전라남도 화순군,61743,30521,31222,17883,5145,0.287703405,0.289636072,46790.0,123.0
138,전라남도 장흥군,35419,17275,18144,13161,2187,0.166172783,0.371580225,46800.0,164.0
139,전라남도 강진군,32984,16022,16962,12370,2098,0.16960388,0.375030318,46810.0,166.0
140,전라남도 해남군,65414,32614,32800,23020,3996,0.173588184,0.351912435,46820.0,156.0
141,전라남도 영암군,52592,27465,25127,15062,3811,0.253020847,0.286393368,46830.0,121.0
142,전라남도 무안군,90671,45562,45109,18660,9488,0.50846731,0.205798988,46840.0,82.0
143,전라남도 함평군,30791,15573,15218,12164,1699,0.139674449,0.395050502,46860.0,172.0
144,전라남도 영광군,52274,26144,26130,16134,4214,0.261187554,0.30864292,46870.0,136.0
145,전라남도 장성군,42947,22093,20854,13963,2945,0.21091456,0.325121662,46880.0,142.0
146,전라남도 완도군,47310,23874,23436,16609,2828,0.170269131,0.351067428,46890.0,155.0
147,전라남도 진도군,29326,14622,14704,10602,1829,0.17251462,0.361522199,46900.0,162.0
148,전라남도 신안군,37962,20459,17503,14716,1830,0.124354444,0.387650809,46910.0,171.0
149,경상북도 경주시,248737,124477,124260,62819,21064,0.335312565,0.252551892,47130.0,113.0
150,경상북도 김천시,138964,69802,69162,35160,12172,0.346188851,0.253015169,47150.0,114.0
151,경상북도 안동시,153943,76105,77838,41810,13569,0.324539584,0.271594032,47170.0,118.0
152,경상북도 구미시,406976,209690,197286,46368,49333,1.063944962,0.113933008,47190.0,7.0
153,경상북도 영주시,100746,49955,50791,30059,7333,0.243953558,0.298364203,47210.0,129.0
154,경상북도 영천시,100965,51406,49559,31194,7537,0.241616978,0.30895855,47230.0,137.0
155,경상북도 상주시,94646,46623,48023,32266,6015,0.186419141,0.340912453,47250.0,150.0
156,경상북도 문경시,69769,34330,35439,23071,4836,0.209613801,0.330676948,47280.0,144.0
157,경상북도 경산시,267731,134765,132966,50492,30461,0.603283689,0.188592281,47290.0,68.0
158,경상북도 의성군,50081,24707,25374,22448,2330,0.103795438,0.448233861,47730.0,182.0
159,경상북도 영덕군,34504,16423,18081,14136,1793,0.126839276,0.40969163,47770.0,177.0
160,경상북도 청도군,41661,20566,21095,17093,2076,0.121453226,0.410287799,47820.0,178.0
161,경상북도 고령군,30315,15592,14723,10633,1749,0.164487915,0.350750454,47830.0,154.0
162,경상북도 성주군,42542,22160,20382,15168,2389,0.157502637,0.35654177,47840.0,158.0
163,경상북도 칠곡군,111725,58486,53239,20334,10020,0.492770729,0.182000448,47850.0,61.0
164,경상북도 예천군,55670,27389,28281,17832,4200,0.235531629,0.320316149,47900.0,141.0
165,경상북도 봉화군,30039,15278,14761,12140,1345,0.110790774,0.404141283,47920.0,175.0
166,경상북도 울진군,46850,23657,23193,14441,3234,0.22394571,0.308239061,47930.0,135.0
167,경상남도 진주시,342744,169402,173342,65423,37655,0.575562111,0.190880074,48170.0,69.0
168,경상남도 통영시,121697,61153,60544,28041,9305,0.331835527,0.230416526,48220.0,101.0
169,경상남도 사천시,109090,55137,53953,26654,8552,0.320852405,0.244330369,48240.0,109.0
170,경상남도 김해시,533292,269615,263677,71761,58142,0.810217249,0.134562304,48250.0,11.0
171,경상남도 밀양시,102720,50596,52124,32899,6992,0.212529256,0.320278427,48270.0,140.0
172,경상남도 거제시,235223,123059,112164,32097,22323,0.695485559,0.136453493,48310.0,14.0
173,경상남도 양산시,354004,177216,176788,56996,38277,0.671573444,0.16100383,48330.0,37.0
174,경상남도 의령군,25861,12832,13029,10403,1344,0.129193502,0.40226596,48720.0,174.0
175,경상남도 함안군,61011,31210,29801,17597,3950,0.22447008,0.288423399,48730.0,122.0
176,경상남도 창녕군,57928,28947,28981,20298,3315,0.163316583,0.350400497,48740.0,153.0
177,경상남도 고성군,50025,25179,24846,17212,2791,0.162154311,0.344067966,48820.0,151.0
178,경상남도 남해군,41394,20137,21257,16813,2060,0.122524237,0.406169976,48840.0,176.0
179,경상남도 함양군,37369,18132,19237,13854,2132,0.153890573,0.370735101,48870.0,163.0
180,경상남도 거창군,60435,29733,30702,18238,4306,0.23610045,0.301778771,48880.0,130.0
181,경상남도 합천군,41868,20385,21483,17815,1985,0.111422958,0.425503965,48890.0,180.0
