,시도군,순위,보건시설 1개당 65세이상 노인인구(명),비율(%),시군구코드
120,전라북도 익산시,77.0,130.3,0.36,45140
121,전라북도 정읍시,93.0,145.6,0.4,45180
122,전라북도 남원시,88.5,141.61,0.39,45190
123,전라북도 김제시,116.5,165.55,0.46,45210
124,전라북도 완주군,113.0,161.08,0.45,45710
125,전라북도 진안군,148.5,193.33,0.54,45720
126,전라북도 순창군,93.0,145.4,0.4,45770
127,전라북도 고창군,127.5,177.25,0.49,45790
128,전라북도 부안군,135.5,184.83,0.51,45800
129,전라남도 목포시,69.0,123.56,0.34,46110
130,전라남도 여수시,88.5,139.51,0.39,46130
131,전라남도 순천시,60.0,115.33,0.32,46150
132,전라남도 나주시,93.0,142.18,0.4,46170
133,전라남도 광양시,60.0,115.06,0.32,46230
134,전라남도 담양군,124.0,174.14,0.48,46710
135,전라남도 고흥군,172.5,225.45,0.63,46770
136,전라남도 보성군,174.5,229.42,0.64,46780
137,전라남도 화순군,99.5,152.15,0.42,46790
138,전라남도 장흥군,130.5,180.93,0.5,46800
139,전라남도 강진군,144.0,190.8,0.53,46810
140,전라남도 해남군,151.0,196.74,0.55,46820
141,전라남도 영암군,113.0,161.25,0.45,46830
142,전라남도 무안군,88.5,141.39,0.39,46840
143,전라남도 함평군,144.0,191.05,0.53,46860
144,전라남도 영광군,106.5,157.06,0.44,46870
145,전라남도 장성군,158.5,204.69,0.57,46880
146,전라남도 완도군,154.0,202.07,0.56,46890
147,전라남도 진도군,124.0,172.66,0.48,46900
148,전라남도 신안군,151.0,198.02,0.55,46910
149,경상북도 경주시,135.5,184.99,0.51,47130
150,경상북도 김천시,144.0,191.46,0.53,47150
151,경상북도 안동시,113.0,160.99,0.45,47170
152,경상북도 구미시,19.0,85.45,0.24,47190
153,경상북도 영주시,139.5,186.7,0.52,47210
154,경상북도 영천시,135.5,184.53,0.51,47230
155,경상북도 상주시,148.5,193.68,0.54,47250
156,경상북도 문경시,144.0,192.33,0.53,47280
157,경상북도 경산시,80.5,132.42,0.37,47290
158,경상북도 의성군,178.0,249.05,0.69,47730
159,경상북도 영덕군,168.5,215.49,0.6,47770
160,경상북도 청도군,171.0,222.94,0.62,47820
161,경상북도 고령군,144.0,191.06,0.53,47830
162,경상북도 성주군,158.5,205.18,0.57,47840
163,경상북도 칠곡군,99.5,149.73,0.42,47850
164,경상북도 예천군,170.0,219.61,0.61,47900
165,경상북도 봉화군,182.0,288.92,0.8,47920
166,경상북도 울진군,158.5,204.66,0.57,47930
167,경상남도 진주시,54.5,111.84,0.31,48170
168,경상남도 통영시,88.5,141.09,0.39,48220
169,경상남도 사천시,119.5,168.01,0.47,48240
170,경상남도 김해시,47.5,107.48,0.3,48250
171,경상남도 밀양시,163.0,208.11,0.58,48270
172,경상남도 거제시,54.5,110.29,0.31,48310
173,경상남도 양산시,65.0,119.08,0.33,48330
174,경상남도 의령군,151.0,198.15,0.55,48720
175,경상남도 함안군,166.0,210.87,0.59,48730
176,경상남도 창녕군,130.5,181.04,0.5,48740
177,경상남도 고성군,168.5,214.86,0.6,48820
178,경상남도 남해군,166.0,212.99,0.59,48840
179,경상남도 함양군,144.0,189.15,0.53,48870
180,경상남도 거창군,119.5,168.96,0.47,48880
181,경상남도 합천군,163.0,207.63,0.58,48890
