,시군구 코드,데이터 개수,시군구 ,2023년03월_계_총인구수
158,44210,3,충청남도 서산시,176150
159,44230,3,충청남도 논산시,111914
160,44810,3,충청남도 예산군,78451
161,36110,3,세종특별자치시,385609
162,45710,2,전라북도 완주군,94265
163,47730,2,경상북도 의성군,49954
164,42770,2,강원도 정선군,34759
165,42750,2,강원도 영월군,37656
166,47150,2,경상북도 김천시,139017
167,28710,2,인천광역시 강화군,69541
168,43770,2,충청북도 음성군,91825
169,45720,2,전라북도 진안군,24651
170,47280,2,경상북도 문경시,69881
171,28140,2,인천광역시 동구,59383
172,42230,2,강원도 삼척시,63487
173,47820,2,경상북도 청도군,41665
174,42210,2,강원도 속초시,82541
175,42190,2,강원도 태백시,39050
176,41820,2,경기도 가평군,61969
177,41730,2,경기도 여주시,113209
178,48740,2,경상남도 창녕군,57998
179,48820,2,경상남도 고성군,50115
180,46910,2,전라남도 신안군,37844
181,47230,2,경상북도 영천시,100956
182,46900,2,전라남도 진도군,29363
183,43760,2,충청북도 괴산군,36835
184,46880,2,전라남도 장성군,42948
185,31170,2,울산광역시 동구,151009
186,45790,2,전라북도 고창군,52205
187,45190,2,전라북도 남원시,77549
188,43750,2,충청북도 진천군,85842
189,46780,2,전라남도 보성군,38257
190,46830,2,전라남도 영암군,52491
191,46870,2,전라남도 영광군,52258
192,46840,2,전라남도 무안군,90609
193,46860,2,전라남도 함평군,30770
194,48890,1,경상남도 합천군,41919
195,44760,1,충청남도 부여군,61956
196,44800,1,충청남도 홍성군,97288
197,43730,1,충청북도 옥천군,49311
198,44770,1,충청남도 서천군,49732
199,41430,1,경기도 의왕시,159246
200,48720,1,경상남도 의령군,25898
201,44710,1,충청남도 금산군,50318
202,45770,1,전라북도 순창군,26760
203,44250,1,충청남도 계룡시,44918
204,43720,1,충청북도 보은군,31414
205,45750,1,전라북도 임실군,26398
206,48840,1,경상남도 남해군,41425
207,48870,1,경상남도 함양군,37386
208,41250,1,경기도 동두천시,90582
209,46890,1,전라남도 완도군,47334
210,42810,1,강원도 인제군,32089
211,46710,1,전라남도 담양군,45655
212,28720,1,인천광역시 옹진군,20506
213,42730,1,강원도 횡성군,46621
214,46810,1,전라남도 강진군,33015
215,44150,1,충청남도 공주시,102697
216,42780,1,강원도 철원군,41994
217,43740,1,충청북도 영동군,44730
218,47760,1,경상북도 영양군,15912
219,47770,1,경상북도 영덕군,34515
220,46730,1,전라남도 구례군,24516
221,47830,1,경상북도 고령군,30320
222,47840,1,경상북도 성주군,42556
223,47850,1,경상북도 칠곡군,111894
224,47900,1,경상북도 예천군,55651
225,47920,1,경상북도 봉화군,30037
226,46720,1,전라남도 곡성군,27007
227,47930,1,경상북도 울진군,46824
