행정구역,순위,인구 1000명당 의사수,코드
경상남도 함양군,169,1.8,48870
강원도 태백시,169,1.8,42190
경기도 가평군,169,1.8,41820
충청남도 예산군,169,1.8,44810
강원도 양구군,169,1.8,42800
충청남도 아산시,169,1.8,44200
경상남도 고성군,169,1.8,48820
제주특별자치도 서귀포시,184,1.7,50130
강원도 화천군,184,1.7,42790
충청북도 진천군,184,1.7,43750
충청남도 태안군,184,1.7,44825
전라남도 영암군,184,1.7,46830
경기도 시흥시,184,1.7,41390
경기도 양평군,184,1.7,41830
충청남도 서산시,184,1.7,44210
경상북도 예천군,184,1.7,47900
경상남도 산청군,184,1.7,48860
강원도 삼척시,184,1.7,42230
경상남도 남해군,184,1.7,48840
경기도 안성시,184,1.7,41550
충청남도 당진시,197,1.6,44830
경기도 연천군,197,1.6,41800
경기도 남양주시,197,1.6,41360
강원도 영월군,197,1.6,42750
경기도 파주시,197,1.6,41480
경상남도 함안군,197,1.6,48730
강원도 평창군,197,1.6,42760
경상남도 하동군,197,1.6,48850
강원도 철원군,197,1.6,42780
강원도 횡성군,206,1.5,42730
충청남도 계룡시,206,1.5,44250
경상남도 의령군,206,1.5,48720
충청북도 증평군,206,1.5,43745
전라남도 광양시,206,1.5,46230
경상북도 영양군,206,1.5,47760
대구광역시 달성군,206,1.5,27710
경상북도 봉화군,206,1.5,47920
경상남도 거제시,206,1.5,48310
경상북도 군위군,215,1.4,47720
충청북도 단양군,215,1.4,43800
울산광역시 울주군,215,1.4,31710
경기도 의왕시,215,1.4,41430
경기도 광주시,219,1.3,41610
경기도 과천시,219,1.3,41290
강원도 정선군,219,1.3,42770
울산광역시 북구,219,1.3,31200
경상북도 칠곡군,219,1.3,47850
강원도 인제군,224,1.2,42810
부산광역시 강서구,224,1.2,26440
강원도 양양군,226,1,42830
강원도 고성군,226,1,42820
