,시군구별,순환계통 사망자수,운수사고 사망자수,낙상(추락) 사망자수,사망자수 합계,sig_cd
290,　　　38340 고성군,179,10,4,193,38340
291,　　　38350 남해군,155,11,5,171,38350
292,　　　38360 하동군,166,16,7,189,38360
293,　　　38370 산청군,125,16,5,146,38370
294,　　　38380 함양군,142,14,5,161,38380
295,　　　38390 거창군,154,13,7,174,38390
296,　　　38400 합천군,172,16,6,194,38400
297,39 제주도,760,52,29,841,39
298,　　　39010 제주시,551,32,18,601,39010
299,　　　39020 서귀포시,209,20,11,240,39020
300,　　　39310 북제주군,,,,0,39310
301,　　　39320 남제주군,,,,0,39320
